wavelength,B,G,R,W
519,0.1338744,0.3295251,0.024743,0.3544986
520,0.1270435,0.3886845,0.02508133,0.3895673
521,0.1212488,0.4580548,0.02515837,0.4367011
522,0.1166168,0.5476751,0.02454189,0.4904536
523,0.1129454,0.6589801,0.02464941,0.5645334
524,0.1112878,0.7911588,0.02590025,0.6560395
525,0.1128013,0.9572537,0.02770306,0.7679272
526,0.114726,1.153916,0.03118574,0.9021191
527,0.1183548,1.388003,0.03343452,1.066282
528,0.1232593,1.661455,0.03666365,1.260141
529,0.1297702,1.975622,0.04111697,1.476921
530,0.1379106,2.33866,0.04378327,1.731578
531,0.1471087,2.7407,0.04806566,2.02371
532,0.1578449,3.176299,0.05437499,2.326878
533,0.1695763,3.632402,0.06030397,2.656169
534,0.1831823,4.124473,0.06858679,3.024313
535,0.197003,4.634194,0.07476296,3.398018
536,0.2115447,5.169206,0.08119024,3.777218
537,0.2257066,5.693394,0.08719718,4.162007
538,0.2388864,6.191545,0.09338139,4.53207
539,0.2509358,6.670391,0.09903069,4.882721
540,0.263776,7.094378,0.105181,5.2014
541,0.2722412,7.469352,0.1091545,5.477486
542,0.2813049,7.7748,0.1135765,5.708942
543,0.2865124,7.990361,0.1158925,5.882182
544,0.2885308,8.144334,0.1176929,6.004778
545,0.2880949,8.165016,0.114827,6.04944
546,0.2842312,8.137593,0.1159262,6.038033
547,0.2796929,8.016706,0.1132453,5.95428
548,0.2723537,7.835989,0.1111132,5.842227
549,0.2636161,7.590128,0.1068305,5.659537
550,0.2513344,7.295061,0.1042718,5.446554
551,0.2412317,6.956839,0.0993594,5.201649
552,0.2286363,6.588253,0.09491045,4.940496
553,0.2150824,6.204595,0.09128867,4.668138
554,0.2028013,5.82055,0.08611722,4.398839
555,0.190496,5.441194,0.08113905,4.115616
556,0.1767947,5.058438,0.07670411,3.847174
557,0.1650874,4.686288,0.0729988,3.557562
558,0.152156,4.334394,0.06756201,3.291574
559,0.1410328,3.991321,0.06424174,3.03772
560,0.1311025,3.684235,0.06181565,2.801846
561,0.1215832,3.396457,0.05843281,2.579112
562,0.1120839,3.108171,0.05697376,2.378697
563,0.1037525,2.859223,0.05567903,2.185048
564,0.09581704,2.627343,0.05372354,2.006844
565,0.0882135,2.39731,0.05260838,1.841078
566,0.08171181,2.184896,0.05151758,1.677086
567,0.07526769,1.992004,0.0515089,1.535945
568,0.06831682,1.813071,0.05121373,1.399987
569,0.06336038,1.650827,0.05260925,1.273143
570,0.05836589,1.501959,0.05468978,1.158601
571,0.0537637,1.360525,0.05589667,1.060869
572,0.04941982,1.230755,0.05851347,0.9655927
573,0.04541874,1.109323,0.05988976,0.875645
574,0.04210264,1.001621,0.06325109,0.7960661
575,0.038745,0.8986298,0.06734421,0.7279258
576,0.03524652,0.8069617,0.07119645,0.6585331
577,0.03284082,0.7236626,0.07609038,0.598399
578,0.0303217,0.6482512,0.08075161,0.5445957
579,0.02807254,0.5811361,0.08748376,0.4973226
580,0.02631612,0.5195735,0.0957265,0.4563182
581,0.02475553,0.4677102,0.1013777,0.4216188
582,0.02350147,0.4205231,0.1105719,0.3919537
583,0.02255728,0.3766373,0.1217976,0.364608
584,0.02186893,0.3374404,0.1348507,0.3424455
585,0.0205714,0.3033558,0.1473401,0.3279451
586,0.02008707,0.2705913,0.162734,0.3119309
587,0.01969119,0.2433712,0.1782382,0.3007855
588,0.01931894,0.2185694,0.1993537,0.2932943
589,0.01929889,0.1985072,0.2193859,0.2930188
590,0.01953524,0.1779555,0.245969,0.2925553
591,0.02033735,0.1633568,0.2732056,0.2949715
592,0.02048554,0.1482467,0.3021768,0.304718
593,0.02124714,0.1356575,0.3362127,0.3180403
594,0.02214405,0.1246954,0.3771057,0.3319249
595,0.02359436,0.1143907,0.4225367,0.3524416
596,0.02502835,0.1069851,0.4751393,0.3773372
597,0.02662924,0.09899738,0.5392526,0.4097111
598,0.02891289,0.09399932,0.6175719,0.4514141
599,0.03234326,0.09072893,0.7037172,0.5006068
600,0.035764,0.08838854,0.8115683,0.5591774
601,0.03971748,0.08609115,0.9270875,0.6295622
602,0.04493199,0.08603193,1.064441,0.7081851
603,0.05069904,0.0866556,1.220774,0.8032289
604,0.05751002,0.0895943,1.407146,0.9139037
605,0.06667083,0.09458811,1.621037,1.048286
606,0.07459566,0.09889439,1.868983,1.201504
